ion_position_um,intensity_mW_cm2
6.150286738351254456e+01,8.862873177268476566e-02
6.172450358987303787e+01,8.853215348533158280e-02
6.194613979623353117e+01,8.836924022576400639e-02
6.216777600259402448e+01,8.814650028686467353e-02
6.238941220895451778e+01,8.787631179734507747e-02
6.261104841531501108e+01,8.756791188244714141e-02
6.283268462167550439e+01,8.723169170436025077e-02
6.305432082803599769e+01,8.687960139615008570e-02
6.327595703439649100e+01,8.652675516746022311e-02
6.349759324075698430e+01,8.623646384957150968e-02
6.371922944711748471e+01,8.588412501387814035e-02
6.394086565347797091e+01,8.548865355387623433e-02
6.416250185983847132e+01,8.508924966091166442e-02
6.438413806619895752e+01,8.468919673555691530e-02
6.460577427255945793e+01,8.429961450667979028e-02
6.482741047891994413e+01,8.408969920901457340e-02
6.504904668528044454e+01,8.384155224876248258e-02
6.527068289164093073e+01,8.347358390294956632e-02
6.549231909800143114e+01,8.312077656016017557e-02
6.571395530436191734e+01,8.278749562565522468e-02
6.593559151072241775e+01,8.248031465194526068e-02
6.615722771708291816e+01,8.220095946510327933e-02
6.637886392344340436e+01,8.191534844141948324e-02
6.660050012980390477e+01,8.155729931856831039e-02
6.682213633616439097e+01,8.122664253506944876e-02
6.704377254252489138e+01,8.090573777171480852e-02
6.726540874888537758e+01,8.058443184286057104e-02
6.748704495524587799e+01,8.025660551211438731e-02
6.770868116160636418e+01,7.993430975437894326e-02
6.793031736796686459e+01,7.961303793467003342e-02
6.815195357432735079e+01,7.929105649234036157e-02
6.837358978068785120e+01,7.896704383115013548e-02
6.859522598704833740e+01,7.864771713400119102e-02
6.881686219340883781e+01,7.832427241507107507e-02
6.903849839976932401e+01,7.800299548267740357e-02
6.926013460612982442e+01,7.768611176396136853e-02
6.948177081249031062e+01,7.737001926598734147e-02
6.970340701885081103e+01,7.705251972275191374e-02
6.992504322521129723e+01,7.673124601855986493e-02
7.014667943157179764e+01,7.640765986507119800e-02
7.036831563793228383e+01,7.609304358108422150e-02
7.058995184429278424e+01,7.577665523563946459e-02
7.081158805065328465e+01,7.546542210693181485e-02
7.103322425701377085e+01,7.515219630114117200e-02
7.125486046337425705e+01,7.484190613503764744e-02
7.147649666973475746e+01,7.452555955137860066e-02
7.169813287609525787e+01,7.421804714623964072e-02
7.191976908245574407e+01,7.390800850947873424e-02
7.214140528881624448e+01,7.359792660334558978e-02
7.236304149517673068e+01,7.328249136394045238e-02
7.258467770153723109e+01,7.297092214994972681e-02
7.280631390789771729e+01,7.266280867661395471e-02
7.302795011425821770e+01,7.235481627722509246e-02
7.324958632061870389e+01,7.204805075011985749e-02
7.347122252697920430e+01,7.174383206924378475e-02
7.369285873333969050e+01,7.143951911504883845e-02
7.391449493970019091e+01,7.113443554652568168e-02
7.413613114606067711e+01,7.083190307660894303e-02
7.435776735242117752e+01,7.053007886101431145e-02
7.457940355878166372e+01,7.023350951854283319e-02
7.480103976514216413e+01,6.993439101110851541e-02
7.502267597150265033e+01,6.963167971193245931e-02
7.524431217786315074e+01,6.933249619802221708e-02
7.546594838422365115e+01,6.903129189545609279e-02
7.568758459058413735e+01,6.872967579235057800e-02
7.590922079694462354e+01,6.843004148548614829e-02
7.613085700330512395e+01,6.812944736218332076e-02
7.635249320966562436e+01,6.782819293236490299e-02
7.657412941602611056e+01,6.752804530867206889e-02
7.679576562238661097e+01,6.723086217364565575e-02
7.701740182874709717e+01,6.693665717749852639e-02
7.723903803510759758e+01,6.664360095409778417e-02
7.746067424146808378e+01,6.635139481286111973e-02
7.768231044782858419e+01,6.605409394679706558e-02
7.790394665418907039e+01,6.576292455807249138e-02
7.812558286054957080e+01,6.547292148417455104e-02
7.834721906691005699e+01,6.518814771178249590e-02
7.856885527327055740e+01,6.489856734384616410e-02
7.879049147963104360e+01,6.461206596741228547e-02
7.901212768599154401e+01,6.432260221621048657e-02
7.923376389235204442e+01,6.403522461245689246e-02
7.945540009871253062e+01,6.374682825710220602e-02
7.967703630507301682e+01,6.345662567379052599e-02
7.989867251143351723e+01,6.316865299941261391e-02
8.012030871779401764e+01,6.288214149593004954e-02
8.034194492415450384e+01,6.260201098355196170e-02
8.056358113051499004e+01,6.232520482238489840e-02
8.078521733687549045e+01,6.204556372667255348e-02
8.100685354323599086e+01,6.176633225205389183e-02
8.122848974959647705e+01,6.148648915613266069e-02
8.145012595595696325e+01,6.120434910464386813e-02
8.167176216231746366e+01,6.092217314965397978e-02
8.189339836867796407e+01,6.063802558282554989e-02
8.211503457503845027e+01,6.035448812971315469e-02
8.233667078139895068e+01,6.007354261933149642e-02
8.255830698775943688e+01,5.979864514465198233e-02
8.277994319411993729e+01,5.952364357276086065e-02
8.300157940048042349e+01,5.925518979331487884e-02
8.322321560684092390e+01,5.897944370309075868e-02
8.344485181320141010e+01,5.870357494120575365e-02
8.366648801956191051e+01,5.842995122966711252e-02
8.388812422592239670e+01,5.815356271913071223e-02
8.410976043228289711e+01,5.788168405539330374e-02
8.433139663864338331e+01,5.761388295440275642e-02
8.455303284500388372e+01,5.734801069567624365e-02
8.477466905136438413e+01,5.708217574971644753e-02
8.499630525772487033e+01,5.681637156999277266e-02
8.521794146408535653e+01,5.655052752935337684e-02
8.543957767044585694e+01,5.628741970911479292e-02
8.566121387680635735e+01,5.602637191574902364e-02
8.588285008316684355e+01,5.576263977443000203e-02
8.610448628952732975e+01,5.549525779068963105e-02
8.632612249588783015e+01,5.523274719594091497e-02
8.654775870224833056e+01,5.496857793646073298e-02
8.676939490860881676e+01,5.471145364524607202e-02
8.699103111496931717e+01,5.445112890349199791e-02
8.721266732132980337e+01,5.419169386720899817e-02
8.743430352769030378e+01,5.392923988888939646e-02
8.765593973405078998e+01,5.367032793597366347e-02
8.787757594041129039e+01,5.341538521260278533e-02
8.809921214677177659e+01,5.315746802919151665e-02
8.832084835313227700e+01,5.289920480550996951e-02
8.854248455949276320e+01,5.263899676242449893e-02
8.876412076585326361e+01,5.238118909206551654e-02
8.898575697221374980e+01,5.213020530732273561e-02
8.920739317857425021e+01,5.187220679617259023e-02
8.942902938493475062e+01,5.161917739675651179e-02
8.965066559129523682e+01,5.136751713990992535e-02
8.987230179765572302e+01,5.111760207015242363e-02
9.009393800401622343e+01,5.087106623103321984e-02
9.031557421037672384e+01,5.062620302640112591e-02
9.053721041673721004e+01,5.038119031670651449e-02
9.075884662309769624e+01,5.013431838411087221e-02
9.098048282945819665e+01,4.988971639342617420e-02
9.120211903581869706e+01,4.964553619923515321e-02
9.142375524217918326e+01,4.940195445135133617e-02
9.164539144853968367e+01,4.916012255260412273e-02
9.186702765490016986e+01,4.891273628719784022e-02
9.208866386126067027e+01,4.866901280979288313e-02
9.231030006762115647e+01,4.842623213931738363e-02
9.253193627398165688e+01,4.818573060375336975e-02
9.275357248034214308e+01,4.794684961720038774e-02
9.297520868670264349e+01,4.770446953868612977e-02
9.319684489306312969e+01,4.746453117682045836e-02
9.341848109942363010e+01,4.722492374658606579e-02
9.364011730578411630e+01,4.698808830915908452e-02
9.386175351214461671e+01,4.675051107360957831e-02
9.408338971850511712e+01,4.651472766939515613e-02
9.430502592486560332e+01,4.627663797732479989e-02
9.452666213122608951e+01,4.604394290509465637e-02
9.474829833758658992e+01,4.581329538937473772e-02
9.496993454394709033e+01,4.558226692128554414e-02
9.519157075030757653e+01,4.535263342957205485e-02
9.541320695666806273e+01,4.512203440242344710e-02
9.563484316302856314e+01,4.489566226282931671e-02
9.585647936938906355e+01,4.466498655360250786e-02
9.607811557574954975e+01,4.443344988136970625e-02
9.629975178211003595e+01,4.420737525250751504e-02
9.652138798847053636e+01,4.397977720745157443e-02
9.674302419483103677e+01,4.375004982750923394e-02
9.696466040119153718e+01,4.352100977593240105e-02
9.718629660755202337e+01,4.330004969993792030e-02
9.740793281391250957e+01,4.307537706919957465e-02
9.762956902027300998e+01,4.285346042954851775e-02
9.785120522663351039e+01,4.263048362063365931e-02
9.807284143299399659e+01,4.240843524741570031e-02
9.829447763935448279e+01,4.219075944868799777e-02
9.851611384571498320e+01,4.197258613821028272e-02
9.873775005207548361e+01,4.175832485911652736e-02
9.895938625843596981e+01,4.154392390704637894e-02
9.918102246479645601e+01,4.132738755697004662e-02
9.940265867115695642e+01,4.110758921568876539e-02
9.962429487751745683e+01,4.089242837445761919e-02
9.984593108387794302e+01,4.067373077618210986e-02
1.000675672902384292e+02,4.045535388416832828e-02
1.002892034965989296e+02,4.024183745114380539e-02
1.005108397029594300e+02,4.003017562813328961e-02
1.007324759093199162e+02,3.982440441273961407e-02
1.009541121156804024e+02,3.961899547694508472e-02
1.011757483220409028e+02,3.941179988723830102e-02
1.013973845284014033e+02,3.920304546124758760e-02
1.016190207347618895e+02,3.899150507269379812e-02
1.018406569411223899e+02,3.878301102492318075e-02
1.020622931474828761e+02,3.857139227464317921e-02
1.022839293538433765e+02,3.836104128173813826e-02
1.025055655602038769e+02,3.815231107545284661e-02
1.027272017665643631e+02,3.794535606050611354e-02
1.029488379729248493e+02,3.774531001968729066e-02
1.031704741792853497e+02,3.754517560480125082e-02
1.033921103856458501e+02,3.734346114090553170e-02
1.036137465920063363e+02,3.714386235348994536e-02
1.038353827983668225e+02,3.694145987298267514e-02
